LoAu,English Region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tameside,North West,"137,900","138,200","139,300","140,100","141,100","141,700","142,100","142,500","141,200","140,400","139,500","139,400","139,900","140,000"
Trafford,North West,"136,700","137,400","139,300","141,000","141,900","142,900","144,000","144,700","144,200","144,500","145,200","144,900","144,700","144,800"
Warrington,North West,"124,300","125,200","126,800","128,400","129,500","130,500","131,000","131,400","130,800","131,000","131,200","131,400","131,700","131,600"
West Lancashire,North West,"70,100","70,000","70,300","70,500","70,400","70,100","70,000","69,600","69,100","68,900","69,000","69,200","69,400","69,700"
Wigan,North West,"199,600","200,400","202,000","203,000","204,200","205,100","205,800","206,200","204,500","203,700","202,900","202,600","202,600","202,800"
Wirral,North West,"195,000","195,400","196,200","196,900","197,800","198,300","199,000","199,200","197,500","196,600","195,800","194,900","194,200","193,700"
Wyre,North West,"64,200","64,600","64,900","65,000","64,700","64,400","64,100","63,700","63,100","62,900","62,700","63,000","63,000","62,900"
Adur,South East,"36,200","36,200","36,800","37,100","37,400","37,300","37,300","37,200","37,200","37,300","37,400","37,400","37,500","37,200"
Arun,South East,"83,600","84,500","85,700","86,700","86,900","86,900","87,000","86,800","86,600","86,600","86,900","87,100","87,500","87,900"
Ashford,South East,"67,000","68,500","70,000","71,200","71,900","72,400","72,900","73,600","73,900","74,300","74,800","75,000","75,900","76,600"
Aylesbury Vale,South East,"108,500","109,000","110,200","111,100","111,500","111,400","112,000","113,000","113,500","114,800","116,400","118,800","121,200","123,000"
Basingstoke and Deane,South East,"103,100","104,400","105,400","106,300","107,300","108,300","109,300","110,100","110,300","110,400","110,500","110,800","110,900","110,300"
Bracknell Forest,South East,"73,300","73,700","74,200","74,900","75,400","75,400","75,800","76,000","76,400","76,700","77,400","78,100","78,100","78,400"
Brighton and Hove,South East,"170,200","173,100","176,400","179,500","183,300","186,500","190,000","192,700","194,300","195,600","197,600","200,400","203,100","204,400"
Canterbury,South East,"89,600","90,800","92,000","93,300","94,000","93,900","95,600","96,700","98,000","99,000","100,200","102,100","104,300","105,000"
Cherwell,South East,"88,500","88,900","90,000","90,500","91,300","91,600","91,800","91,900","91,400","91,400","91,300","91,600","91,700","92,000"
Chichester,South East,"64,300","64,600","65,400","66,000","66,800","67,000","67,300","67,300","67,000","67,200","66,800","67,500","68,200","68,400"
Chiltern,South East,"55,900","56,100","56,600","56,900","56,700","56,400","56,200","55,700","55,000","54,800","55,100","55,100","55,400","55,300"
Crawley,South East,"64,100","65,300","66,500","67,600","68,600","69,300","70,400","71,300","71,600","71,800","72,100","72,500","72,600","72,400"
Dartford,South East,"56,900","58,400","59,600","60,400","61,500","62,300","62,900","63,500","64,100","64,700","65,600","66,400","67,400","68,700"
Dover,South East,"65,900","66,500","67,100","68,000","68,400","68,300","68,800","68,800","68,000","67,800","67,900","67,800","68,200","68,800"
East Hampshire,South East,"69,500","69,600","70,200","70,800","71,200","71,500","71,900","72,000","71,400","71,300","71,100","71,000","70,400","70,300"
Eastbourne,South East,"55,400","57,000","58,100","59,000","59,700","59,400","59,700","60,200","59,600","59,500","59,700","59,900","60,100","60,000"
Eastleigh,South East,"75,800","76,700","77,700","78,600","79,000","79,400","80,200","80,900","80,600","80,700","80,800","80,400","80,200","80,300"
Elmbridge,South East,"79,500","80,700","81,800","82,500","82,200","81,800","81,900","81,600","81,100","81,300","81,700","81,700","81,700","81,400"
Epsom and Ewell,South East,"43,800","44,400","45,000","45,800","46,500","46,700","47,400","47,800","47,700","48,100","48,600","48,700","48,800","48,800"
Fareham,South East,"68,200","67,900","68,200","68,800","69,100","69,200","69,400","69,400","69,300","69,500","69,700","69,800","69,900","69,900"
Gosport,South East,"49,800","50,300","51,200","51,800","52,400","52,500","52,300","52,300","52,300","52,100","52,300","52,500","52,800","52,600"
Gravesham,South East,"60,800","61,600","62,200","62,900","63,500","63,900","64,300","64,600","64,400","64,700","65,500","65,800","65,800","65,500"
Guildford,South East,"86,100","86,500","87,700","88,300","88,600","89,100","90,200","91,400","91,800","92,200","93,200","95,300","96,500","97,200"
Hart,South East,"56,900","57,500","58,400","58,800","59,000","58,700","58,300","58,100","57,500","57,500","57,600","57,800","57,600","57,800"
Hastings,South East,"54,400","55,200","55,600","56,300","57,000","57,300","57,600","57,900","57,400","57,300","57,200","57,400","57,700","57,500"
Havant,South East,"72,000","72,100","72,400","72,700","72,900","73,000","73,200","73,300","72,900","72,700","72,700","73,200","73,400","74,000"
Horsham,South East,"78,100","78,800","79,700","80,400","80,500","80,900","81,400","81,100","80,500","80,400","80,800","81,600","82,800","83,500"
Isle of Wight,South East,"81,600","82,700","83,300","83,800","83,800","83,200","82,800","82,500","81,800","81,000","80,800","80,600","80,300","80,500"
